,TARGET-30-PAMZGT-01,TARGET-30-PANGXK-01,TARGET-30-PAPTCR-01,TARGET-30-PAIFXV-01,TH06_0628_S01,TARGET-30-PAIXIF-01,TARGET-30-PANSBN-01,TH06_0622_S01,TH40_2228_S01,TARGET-30-PAITEG-01,TARGET-30-PALCBW-01,TARGET-30-PAPKWN-01,TH40_2249_S01,TARGET-30-PASMJG-01,TARGET-30-PAPTAN-01,TARGET-30-PALKUC-01,THR31_0881_S01,TARGET-30-PANJLH-01,TH40_2262_S01,TARGET-30-PANKFE-01,TH40_2272_S01,TARGET-30-PALVKK-01,TH06_0284_S01,TH40_2235_S01,TARGET-30-PARKGJ-01,TARGET-30-PANXJL-01,TARGET-30-PAPZYZ-01,TARGET-30-PARZCJ-02,TARGET-30-PAPTCR-01,TH06_0628_S01,TARGET-30-PANSBN-01
hsa:04136,0.00067627226,0.004150708,0.003860325,-0.00024009861,-0.00025317885,-0.00024252877,-0.00025771043,0.007867685,0.002168505,0.0013273357,0.0012537959,0.00069296855,-1.180029e-05,0.004942603,0.003828853,0.0044877846,0.00029442753,0.00028564496,0.00021013027,6.807905e-06,7.4875634e-06,6.025818e-06,1.1116315e-06,3.0473175e-06,1.2031945e-06,-0.0012606969,-0.0011560235,-0.0012002205,-0.00094036886,-0.0009121109,-0.00095382845
hsa:04621,0.0007537376,3.7463542e-06,6.7034925e-06,0.0022276407,0.0011749384,0.0011400263,0.0011696096,2.7711842e-06,1.8012036e-06,0.00049733266,0.00066390634,0.0004961282,4.9717986e-05,7.425796e-05,6.367967e-05,0.00010014771,0.00070108834,0.00048050887,0.00082429923,0.00053382956,0.00062262657,0.0008252374,-0.00031689223,-0.00043434056,-0.0004725393,0.00073133514,0.00079990306,0.001188397,0.00025817755,0.00025840895,0.00025851102
hsa:00310,-0.00037126514,-0.00022281545,-0.0001893086,0.00091089704,0.00045781874,0.00049714954,0.0005525581,-8.445725e-05,0.00053575437,0.0029714385,0.0024030642,0.0023303074,0.0026222365,0.0035102977,0.002895026,0.0025131456,-0.0012269947,-0.00074249716,-0.0033555026,8.491886e-05,7.18761e-05,7.249023e-05,0.00090629247,0.0005661298,0.00085625343,0.00037728137,0.0010243005,0.0005728696,1.4296298e-06,5.332786e-06,-3.2779478e-06
hsa:04540,-2.2428223e-05,-3.6648664e-05,-3.5452067e-05,1.36000135e-05,4.2494845e-05,3.9979706e-05,4.241715e-05,-0.027870283,-0.013080753,0.004386161,0.0042334115,0.0012660347,-7.759749e-06,0.00056772976,0.00055735157,0.0005246379,0.00016984674,-0.00037089607,0.00046842475,-0.0052431617,-0.005790293,-0.004602276,-2.378702e-05,-5.879969e-05,-2.8151879e-05,0.00012861758,0.00011890379,0.0001239442,0.0027034834,0.0026895595,0.00270123
hsa:00330,-0.00012421048,-9.686001e-05,-9.3242335e-05,-0.0012683824,-0.0008634719,-0.0010672853,-0.0009166823,-0.0018039888,-0.0081210155,0.0024043836,0.0017723828,-0.00064715376,0.009238105,0.007928294,0.006658558,0.00502522,-0.0015975349,-0.0024343473,-0.006757493,-7.301735e-05,-0.0001058967,-7.3525094e-05,-0.019863991,0.007838147,-0.00059430115,6.170763e-05,0.00015402952,8.851598e-05,3.4438483e-05,2.4179066e-05,3.6505662e-05
hsa:05034,-0.0013525786,-0.0005049217,-0.00048705182,-5.019852e-07,0.00014868082,0.00011478478,0.0001652397,0.030878702,0.024338234,-0.00072393205,-0.00068645226,-0.00045629186,0.0009101505,0.0006486256,0.0021204522,0.00031975273,-0.0017500669,-0.00031507056,-0.0002827503,0.0010719649,0.0008718386,0.0011476513,0.010386521,0.0037543373,0.0038456395,0.004077127,0.0037599464,0.0037340762,0.00090282696,0.0009111702,0.0009107207
hsa:04614,0.007484197,0.006991389,0.0029010633,-0.009878573,0.00659691,0.005493732,0.00700735,0.00025839522,0.00034628497,0.01257102,0.008772654,-0.0051162886,1.0052436e-05,-7.526223e-05,-1.9575125e-05,-7.3726624e-05,-0.0025795468,-0.001642972,1.748207e-05,0.002131495,0.0016324527,0.002185578,-0.00053496286,0.003094983,0.009303302,-0.0009885501,-0.0011754329,-0.0010380881,0.0033147899,0.005563503,0.005363387
hsa:00480,0.004224293,0.0017085888,0.0016037296,-0.00019927212,-0.00017462236,-0.00021154954,-0.00019586214,0.0065213107,0.017298881,0.000493473,0.00029335797,0.00012332741,0.00012201152,7.808383e-05,-3.7759943e-05,-0.00035523524,0.0007000392,0.0011397215,0.0033596184,0.00039748894,0.00046518067,0.00034722767,0.0001963054,0.0007124186,-0.003422539,-0.0002186669,-0.0002850601,-0.0006275562,0.00064553355,0.0006753688,0.00061070186
hsa:00053,-0.0003121969,-0.00013181093,-0.00012682742,0.0008505308,0.0006256937,0.0006379201,0.0006222917,0.0024225912,-0.010880698,1.6348295e-05,2.5197054e-05,1.6402819e-05,-0.00010043146,-0.0011762567,-0.00014675962,-0.0009364566,-0.0005036773,-0.000281362,-0.00045019021,0.00065245514,0.0013167601,0.001040794,0.0012990285,0.00027701675,0.00010897617,-1.45215145e-05,-3.4840177e-06,-1.835888e-05,0.0017870512,0.0021532765,-0.00011357371
hsa:04930,0.012082623,0.004789208,0.0047204625,-0.0007677224,0.0023901588,0.0008939299,0.0024835183,0.016187234,0.005172331,0.004337076,0.0042352523,0.0016073943,0.0020365654,0.002266794,0.0002221053,0.0018133605,-0.0010861731,-0.00026354464,6.104966e-05,0.0065113334,0.004296428,0.005315426,-0.0036065504,0.008390585,0.0021961844,0.01257422,0.012271393,0.011716822,0.0007579402,0.0007277671,0.00081562897
