,TARGET-30-PAMZGT-01,TARGET-30-PANGXK-01,TARGET-30-PAPTCR-01,TARGET-30-PAIFXV-01,TH06_0628_S01,TARGET-30-PAIXIF-01,TARGET-30-PANSBN-01,TH06_0622_S01,TH40_2228_S01,TARGET-30-PAITEG-01,TARGET-30-PALCBW-01,TARGET-30-PAPKWN-01,TH40_2249_S01,TARGET-30-PASMJG-01,TARGET-30-PAPTAN-01,TARGET-30-PALKUC-01,THR31_0881_S01,TARGET-30-PANJLH-01,TH40_2262_S01,TARGET-30-PANKFE-01,TH40_2272_S01,TARGET-30-PALVKK-01,TH06_0284_S01,TH40_2235_S01,TARGET-30-PARKGJ-01,TARGET-30-PANXJL-01,TARGET-30-PAPZYZ-01,TARGET-30-PARZCJ-02,TARGET-30-PAPTCR-01,TH06_0628_S01,TARGET-30-PANSBN-01
hsa:347411,0.0,0.0,0.0,-1.413588e-09,0.0,0.0,0.0,0.0,0.0,5.9016173e-08,0.0,5.970275e-08,0.0,0.0,6.468141e-08,0.0,1.3483399e-08,0.0,0.0,0.0,1.7418515e-07,0.0,0.0,2.7030195e-08,4.072121e-09,0.0,-1.5207895e-08,0.0,0.0,0.0,0.0
hsa:8907,4.3247305e-06,1.3405806e-05,9.280398e-06,2.7838962e-07,5.22433e-07,6.4962296e-07,1.0634874e-06,-2.1291935e-06,-2.2245425e-07,-3.807705e-08,6.036083e-07,6.6144985e-08,-3.7171228e-07,-1.3197804e-06,-1.1957038e-06,-1.1149109e-06,1.8160242e-06,8.710291e-07,7.7182966e-07,3.3069275e-06,3.529779e-06,2.5592158e-06,-1.5585605e-10,-7.0411654e-09,-1.0453911e-09,-5.612e-06,-3.7733168e-06,-4.0683526e-06,1.0342915e-05,1.0659904e-05,2.011896e-05
hsa:5810,3.2256419e-06,5.7669113e-06,4.3692276e-06,-8.884085e-08,-2.8351843e-07,-2.2977683e-07,-4.049121e-07,-2.5965204e-07,-2.4545432e-07,1.6213947e-06,1.5164344e-06,5.315683e-07,1.2132514e-09,5.829631e-07,4.504269e-07,3.946768e-07,-4.1557487e-06,-7.277121e-06,-2.8695757e-07,-2.827915e-07,-4.2820804e-07,-2.2510534e-07,3.4811822e-09,9.576417e-09,2.6533549e-09,6.0726475e-06,3.2103865e-06,4.1792787e-06,4.889823e-07,4.3641955e-07,7.019803e-07
hsa:7358,0.00011833593,0.0002316609,0.0001805718,0.000101146186,0.0005352087,0.0004095295,0.00048096688,-0.00032910536,-0.0024317307,-2.6557839e-06,-8.778438e-07,-5.22879e-07,-7.668958e-05,-0.00017037708,4.0639956e-05,-9.5270756e-05,0.0004352126,0.00029289012,0.00031962057,0.00065611844,0.0014379363,0.0007767693,0.0013923371,0.00051070127,0.00020408636,3.8923463e-05,8.556288e-05,6.868829e-05,0.00048641185,0.000884326,0.0010741832
hsa:406910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa:55304,6.6402434e-05,6.1531304e-05,0.000115432085,3.6749051e-07,1.0432503e-05,2.2558097e-06,7.208607e-06,1.263531e-06,1.6203799e-07,3.3260196e-06,4.8507936e-06,6.1202813e-06,-1.0934801e-05,4.4308854e-06,2.6424394e-05,-1.1669533e-05,-3.3389047e-06,-1.0770117e-05,-1.4521932e-05,5.446058e-07,6.0082937e-07,2.0029756e-07,9.725986e-09,1.6691845e-07,1.20043255e-08,-2.3887146e-06,-1.4331415e-06,-1.0541501e-06,9.945161e-05,8.961416e-05,6.917416e-05
hsa:5528,3.444078e-05,7.958583e-06,1.2693413e-05,4.2444834e-05,6.434674e-05,6.064697e-05,9.144447e-05,-2.0783558e-05,-1.0726724e-05,-2.2289223e-05,-2.6515327e-05,-1.5641506e-05,-0.000101965634,-0.00017012554,-0.00018437482,-0.00016623641,1.7934724e-05,2.0601835e-06,3.4182996e-08,0.00011345978,6.7140085e-05,0.00033047862,6.027472e-07,2.2064078e-06,4.483367e-06,-2.9736964e-05,-1.46955845e-05,-2.0782565e-05,1.8789357e-05,1.854294e-05,3.5797693e-05
hsa:2767,4.100551e-05,-2.5029123e-05,-2.4291717e-06,-0.0014817019,-0.00083246216,-0.00070114253,-0.00081745465,-0.0005252331,-0.0006237081,-0.00026893316,-0.00063552835,-0.00023635714,0.00090093794,0.00017657939,0.0002516301,0.00018587099,0.00018540515,8.484328e-05,-2.0105559e-05,-0.0009248443,-0.00051260536,-0.0008057273,-7.338582e-05,0.00041043988,0.0010280483,0.0001398634,0.00044333155,0.00030728616,0.000529807,0.0004584008,0.00044666263
hsa:727,-8.08859e-06,-1.49608e-05,-2.4486042e-05,3.2009577e-06,1.0701691e-05,1.30588305e-05,1.6542384e-05,5.1627765e-05,0.0001067202,1.5602705e-05,-5.4399763e-05,1.7343069e-05,-1.6494278e-05,-3.2942194e-06,-6.4069405e-05,-8.5235024e-07,2.8707934e-06,7.090779e-06,6.273559e-06,1.7316412e-05,3.5550215e-06,1.1901032e-05,-0.00012381836,-0.00021300053,-1.8416838e-05,-1.7379652e-05,-1.9710862e-05,-2.2305476e-05,-0.00012364173,-6.0437873e-05,-0.000103965074
hsa:10999,-0.00040829479,-0.00041180121,-0.000332571,-0.0003972522,-0.00023916853,-0.00043693112,-0.00024548353,-1.6919172e-07,-4.6984883e-06,0.0005849186,0.00074357487,0.0012366114,0.00017039049,1.849709e-05,8.1631086e-05,2.5395902e-05,-2.8096809e-05,-1.517447e-05,4.9252227e-05,-0.0011967712,-0.00081763905,-0.0009814787,-1.7198825e-05,-5.0329454e-05,-1.4905795e-05,6.294103e-05,3.8085327e-05,8.477179e-05,0.00010333158,8.9960864e-05,9.408941e-05
