,TARGET-30-PAMZGT-01,TARGET-30-PANGXK-01,TARGET-30-PAPTCR-01,TARGET-30-PAIFXV-01,TH06_0628_S01,TARGET-30-PAIXIF-01,TARGET-30-PANSBN-01,TH06_0622_S01,TH40_2228_S01,TARGET-30-PAITEG-01,TARGET-30-PALCBW-01,TARGET-30-PAPKWN-01,TH40_2249_S01,TARGET-30-PASMJG-01,TARGET-30-PAPTAN-01,TARGET-30-PALKUC-01,THR31_0881_S01,TARGET-30-PANJLH-01,TH40_2262_S01,TARGET-30-PANKFE-01,TH40_2272_S01,TARGET-30-PALVKK-01,TH06_0284_S01,TH40_2235_S01,TARGET-30-PARKGJ-01,TARGET-30-PANXJL-01,TARGET-30-PAPZYZ-01,TARGET-30-PARZCJ-02,TARGET-30-PAPTCR-01,TH06_0628_S01,TARGET-30-PANSBN-01
hsa:09130,-0.005955646,0.06718924,0.06719762,0.18870237,0.27483237,0.27553886,0.27488267,0.00014480017,0.03329014,0.08180818,0.08167215,0.083477564,0.32313642,0.27822357,0.28761056,0.2800213,0.11610552,-0.28102726,-0.2946568,0.06410825,0.06401381,0.06506737,0.120995015,0.07641549,0.08345578,0.08113543,0.08253276,0.085062854,0.14479762,0.14485553,0.14486234
hsa:09140,0.25443318,0.1403286,0.14040293,0.037099916,0.043462377,0.04331294,0.043466125,0.085049376,-0.06573527,0.020687459,0.01958745,0.023940276,-0.0022739854,0.06550041,0.07115047,0.065339,0.17361116,0.11253654,0.12029299,-0.04764823,-0.047565803,-0.048516717,-0.011320456,-0.0062947064,-0.0086192805,0.05481223,0.055400692,0.056712277,-0.0018007737,-0.0017425772,-0.0018500276
hsa:09120,0.044762,0.18444064,0.18446219,0.22279695,0.14559282,0.14502242,0.14542346,-0.018274117,-0.013059061,-0.026138483,-0.026331509,0.037483953,0.16498534,0.08619909,0.07852377,0.079550855,-0.08117934,0.047949817,-0.05671385,0.08900231,0.0893737,0.07082372,0.053560793,-0.103694126,0.06109481,0.00282057,0.008234214,0.013664642,-0.010929089,-0.010726891,-0.011041865
hsa:09100,0.107589915,0.086819194,0.08684255,-0.17951283,0.15162565,0.15145549,0.15159377,0.21660845,0.12767138,0.07916081,0.07934576,0.05561841,-0.37006477,0.36022174,0.38330337,0.36248505,0.09333491,0.27319834,0.27825385,0.14500952,0.14503813,0.14835408,0.30162224,0.35360324,0.3955072,0.03364115,0.038063813,0.038553834,0.070611365,0.07057816,0.07063746
hsa:09160,0.22129045,0.17300215,0.17315285,1.03597995e-05,0.0712654,0.07086364,0.07127737,0.3072901,0.4051631,0.2078385,0.20835052,0.30071008,0.06826073,0.10980036,0.08842493,0.11440283,-0.0378913,-0.028255824,-0.015417443,0.13407815,0.13184851,0.13502905,-0.14285317,0.12337001,0.21927524,0.168535,0.16819692,0.16988096,0.11762574,0.11746496,0.11733957
hsa:09150,0.23781262,0.2681513,0.26777068,0.23477092,0.21033658,0.21078639,0.21033251,0.024788328,0.02201401,0.3041696,0.30480182,0.4136534,-0.027616423,0.09881431,0.09098671,0.09679249,0.19964923,0.14732191,0.10719204,0.36042726,0.3593122,0.36808777,0.31151628,0.16937406,-0.18484652,0.33324087,0.33264297,0.33257967,0.28675056,0.2867908,0.28684503
