,TARGET-30-PAMZGT-01,TARGET-30-PANGXK-01,TARGET-30-PAPTCR-01,TARGET-30-PAIFXV-01,TH06_0628_S01,TARGET-30-PAIXIF-01,TARGET-30-PANSBN-01,TH06_0622_S01,TH40_2228_S01,TARGET-30-PAITEG-01,TARGET-30-PALCBW-01,TARGET-30-PAPKWN-01,TH40_2249_S01,TARGET-30-PASMJG-01,TARGET-30-PAPTAN-01,TARGET-30-PALKUC-01,THR31_0881_S01,TARGET-30-PANJLH-01,TH40_2262_S01,TARGET-30-PANKFE-01,TH40_2272_S01,TARGET-30-PALVKK-01,TH06_0284_S01,TH40_2235_S01,TARGET-30-PARKGJ-01,TARGET-30-PANXJL-01,TARGET-30-PAPZYZ-01,TARGET-30-PARZCJ-02,TARGET-30-PAPTCR-01,TH06_0628_S01,TARGET-30-PANSBN-01
hsa:09124,-0.053691953,0.059364133,0.057894908,0.013633522,0.016303187,0.011045357,0.016671402,-0.0028089606,0.0047669276,-0.00013536506,-0.00013261603,0.0008039857,0.009919938,0.007330582,-0.0014475554,0.002121323,-0.011837555,-0.008012566,-0.0060648276,0.01311041,0.011831947,0.018903218,0.0017139897,0.028717006,-0.00600335,0.004227608,0.008416762,0.008855043,0.0033639579,0.0033071088,0.0034707137
hsa:09167,0.061019488,0.04487536,0.04359313,-0.0014455952,0.013711554,0.013151302,0.0139572695,0.048838,0.016161928,0.018420707,0.015311714,0.017598368,0.026896505,0.021087265,0.014216227,0.020418407,-0.0023462533,-0.0009765462,0.00057895016,0.025516033,0.017069584,0.021687929,-0.012937148,0.024988277,0.02843358,0.05847095,0.056116126,0.055598505,0.016948104,0.016883666,0.016842369
hsa:09142,-0.002432446,-0.0011601287,-0.0011296726,0.0019580696,0.0012466937,0.0014033364,0.0012597771,0.0028322218,0.0028736521,-0.0003995855,-0.00040872383,-0.00037995327,-7.1084423e-06,-0.0013422025,-0.0014957393,-0.0013357115,0.00012801489,9.318604e-05,5.004443e-05,-0.0009392074,-0.0009844099,-0.00096915726,-0.00026980444,-0.0005012943,-0.00025060278,-0.00027696253,-0.00023956271,-0.00020959158,-0.00089224003,-0.00089183194,-0.0008874031
hsa:09163,-0.011673693,0.007493123,0.0072053405,0.0013662161,0.0077920062,0.0076950295,0.00798156,0.003887149,-0.013130818,0.061918374,0.06726169,0.055140913,-0.012839255,0.00604672,-0.014028438,0.0056029856,-0.0026946845,-0.0011359897,-0.0005433889,0.0047438717,0.003335519,0.003735126,-0.01004963,0.025997713,0.024233697,0.0118426485,0.012107287,0.010005792,0.020079382,0.01901906,0.018803686
hsa:09162,-0.02820468,0.022155045,0.021536073,-0.0011526525,0.0036306595,0.0034684197,0.0035264185,0.08500631,0.08759912,0.027019884,0.02714102,-0.033367846,0.03851256,0.011861319,0.05316374,0.011288032,-0.006690521,-0.0027551558,-0.00023863056,-0.0018107339,0.013096608,-0.0017034796,-0.038959842,0.032289524,0.028410502,0.0017509807,0.0022530511,0.0018876449,-0.0010633348,-0.0006843698,-0.00074625434
hsa:09102,0.0005375664,0.00069152925,0.0006461219,-0.00059917354,-0.0009110566,0.00031527574,-0.00085104274,-0.0020161571,-0.007210981,0.004464121,0.0023695033,-0.00045877867,-0.0008657044,-0.026228802,-0.013940658,-0.028021,-0.04333216,-0.026215743,-0.05299395,-0.00039320355,-0.0011546639,-0.0007498701,0.035506986,0.017119177,0.025616217,0.0030735382,0.0040930845,0.0026814074,0.010340278,0.010610322,0.010200871
hsa:09108,-0.018917125,0.011415724,0.011113765,-0.005559976,0.020718014,0.022838894,0.02017365,0.027988635,-0.08046776,0.0112884315,0.011563947,-0.008013332,0.00021001832,0.017484797,0.0075781276,0.01907012,0.025010813,0.027408816,0.042734787,0.008302387,0.008962856,0.009055769,0.009341214,-0.00982501,-0.018968057,0.017378319,0.020389015,0.019031446,0.0030263118,0.0028268914,0.0029195559
hsa:09161,0.037793647,0.016447393,0.0159843,-0.0032163397,0.00969234,0.008876043,0.009820962,0.1080455,0.07951754,0.009910181,0.010504562,0.008702617,-0.010367129,0.00037368652,0.009898901,0.002838689,-0.0019858289,-0.00081709976,-0.0002846472,0.00097013713,0.014333411,0.017865088,0.034775343,0.01791784,0.016502421,0.023408841,0.02100206,0.022372045,0.0013548366,0.0013769881,0.0017324383
hsa:09121,0.0023054876,0.0018876076,0.0018115327,-0.0007298967,-0.00093158206,-0.0010495684,-0.0010223023,0.0005656036,0.00070586894,-0.00060497277,-0.0005946114,0.00036778278,0.00669087,0.0049780644,-0.0028954127,0.0069697495,0.0023387605,0.0016792144,0.0014230083,0.0043649944,0.004247564,0.0043287612,-0.00029145015,-0.002557276,0.0011152199,0.00045673185,0.0004641332,0.00045311823,0.005596875,0.005602425,0.0057256105
hsa:09125,0.043149486,0.066299215,0.06317654,0.07817421,0.10479328,0.10809589,0.102914296,0.010546793,0.004840928,-0.029849196,-0.029335013,0.015440333,0.013890171,0.017924026,0.023516558,0.010861123,-0.024308486,0.03456118,-0.010556532,0.032388635,0.03683683,0.008192122,0.015315632,-0.08844662,0.03131983,-0.010023423,-0.008477845,-0.006418182,0.02007224,0.020031683,0.019551177
hsa:09110,0.0060556126,0.00066127966,0.00058576115,-0.01422338,0.005594448,-0.0054329974,0.011086233,0.019518562,0.0838063,0.013860966,0.01225634,-5.8203237e-05,0.012140425,-0.0009364145,0.006614032,-0.008412914,-0.0014052257,-0.0010334683,-0.0036287936,0.024822032,0.019858252,0.022029093,-0.034771062,0.010269888,0.007592405,-0.00064309116,4.0654762e-05,-0.0008202066,0.0051007853,0.001193972,0.005346753
hsa:09152,0.013136188,0.09281061,0.09807525,-0.047819808,0.04923532,0.04946973,0.049227253,0.0049648746,0.003553141,0.061535515,0.055537,0.063256264,-0.0020220794,0.001039197,0.00011449773,0.0011525657,0.023639776,0.011112761,0.01618499,0.07865387,0.0850676,0.078415856,0.0007614653,0.019400379,0.023647077,0.027574584,0.029065631,0.029498702,0.057849135,0.05819533,0.05772552
hsa:09158,0.0041566314,0.0023372842,0.002220973,-0.0045614825,-0.0027889954,-0.0028042395,-0.002784276,0.00026491284,0.0002272001,0.017138707,0.015466464,0.012793448,-0.0034365314,0.0052306005,0.007849304,0.005604652,0.000394213,0.00028631135,0.0010192774,-0.0059379903,-0.0064341375,-0.006392736,-0.01018951,-0.01113667,-0.025318978,-0.0015841473,-0.001534746,-0.0017143512,-0.0016994667,-0.0017079889,-0.0016919833
hsa:09157,0.030917687,-0.026895404,-0.028763846,0.07550576,0.042446762,0.04269725,0.042406365,0.002323661,0.0027923998,0.052441627,0.051844075,0.058836944,-0.0021057003,0.007250663,-0.006194178,0.003956175,0.043750845,0.022714453,0.03157319,0.1660143,0.16193654,0.16000336,0.06372182,0.0656084,-0.09472422,0.12600186,0.13038328,0.13607049,0.030832414,0.030750304,0.030710496
hsa:09172,-0.02670614,-0.009782316,-0.009508127,0.00086564757,0.0026228551,0.0028115022,0.002515383,-0.02712861,0.013891946,-0.005846313,-0.0061482135,-0.005557495,0.0048902994,0.001204632,0.0048954794,0.0011665152,-0.003850396,-0.0011239103,-0.00054453994,0.0020252182,0.0012713562,0.0016980756,-0.0015855015,-0.00060732337,-0.0006078297,0.0137769785,0.014169624,0.0132222455,0.0035573435,0.0035197085,0.0035267647
hsa:09133,0.0018280301,0.012029447,0.011678628,0.0359883,0.03845436,0.039052323,0.038610794,-0.0078108725,-0.008843388,0.044014223,0.043304026,-0.10414258,0.06709075,0.05490951,0.05536474,0.056465413,-0.05321901,-0.051031597,-0.050451897,0.020884905,0.020790294,0.021273496,0.0026857234,0.0047732936,0.0023785355,0.021091402,0.02227409,0.021900693,0.046731513,0.046722174,0.04654617
hsa:09101,-0.004231589,0.004439735,0.0043364,0.013861369,0.01925914,0.01941087,0.01851351,0.005029817,-0.027187167,0.0013105774,0.001374465,0.00035126274,-0.008231834,0.011324106,0.0045994967,0.013548756,0.0028692922,0.03090555,0.04842355,0.015802674,0.017644832,0.016168397,-0.09477243,0.063674286,-0.009080256,-0.0020367508,-0.0020013887,-0.0023215243,0.012634816,0.013352455,0.01257082
