,mean,median,std,min,max
acc,0.9673437500000001,0.9710937500000001,0.01692195435115281,0.9203125000000001,0.9828125000000001
f1,0.9673069134821508,0.9710935878740763,0.017022329989882998,0.9199511466556796,0.9828121223366724
loss,0.42639375030994414,0.4147860258817673,0.023729719715937157,0.40548935532569885,0.484353244304657
sens,0.9681626830332501,0.9711053089174027,0.014809800898570674,0.9280414913824826,0.9828549384223222
spec,0.9673437500000001,0.9710937500000001,0.01692195435115281,0.9203125000000001,0.9828125000000001
mcc,0.9355029095987646,0.9421990588212289,0.03172808447450809,0.8483187828798786,0.9656674374897964
ep,8.9,9.0,0.3,8.0,9.0
