Module,0.5_sum_abs,0.6_sum_abs,0.7_sum_abs,0.8_sum_abs,0.9_sum_abs,1_sum_abs,0.5_sum,0.6_sum,0.7_sum,0.8_sum,0.9_sum,1_sum,0.5_sum_female,0.5_sum_male,0.6_sum_female,0.6_sum_male,0.7_sum_female,0.7_sum_male,0.8_sum_female,0.8_sum_male,0.9_sum_female,0.9_sum_male,1_sum_female,1_sum_male,
hsa:09100,127.962890625,127.962890625,127.962890625,127.962890625,0.0,0.0,47.921085357666016,47.921085357666016,47.921085357666016,47.921085357666016,0.0,0.0,25.425952911376953,22.495128631591797,25.425952911376953,22.495128631591797,25.425952911376953,22.495128631591797,25.425952911376953,22.495128631591797,0.0,0.0,0.0,0.0,
hsa:09100_residual,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,0.0,0.0,0.0,0.0,
hsa:09120,86.40536499023438,86.40536499023438,86.40536499023438,86.40536499023438,0.0,0.0,86.40536499023438,86.40536499023438,86.40536499023438,86.40536499023438,0.0,0.0,42.044883728027344,44.3604736328125,42.044883728027344,44.3604736328125,42.044883728027344,44.3604736328125,42.044883728027344,44.3604736328125,0.0,0.0,0.0,0.0,
hsa:09120_residual,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,0.0,0.0,0.0,0.0,
hsa:09130,73.66897583007812,73.66897583007812,73.66897583007812,73.66897583007812,0.0,0.0,73.66897583007812,73.66897583007812,73.66897583007812,73.66897583007812,0.0,0.0,37.453025817871094,36.215946197509766,37.453025817871094,36.215946197509766,37.453025817871094,36.215946197509766,37.453025817871094,36.215946197509766,0.0,0.0,0.0,0.0,
hsa:09130_residual,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,0.0,0.0,0.0,0.0,
hsa:09140,60.8217658996582,60.8217658996582,60.8217658996582,60.8217658996582,0.0,0.0,59.500736236572266,59.500736236572266,59.500736236572266,59.500736236572266,0.0,0.0,30.883098602294922,28.617639541625977,30.883098602294922,28.617639541625977,30.883098602294922,28.617639541625977,30.883098602294922,28.617639541625977,0.0,0.0,0.0,0.0,
hsa:09140_residual,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,0.0,0.0,0.0,0.0,
hsa:09150,105.0407943725586,105.0407943725586,105.0407943725586,105.0407943725586,0.0,0.0,105.0407943725586,105.0407943725586,105.0407943725586,105.0407943725586,0.0,0.0,53.64013671875,51.400657653808594,53.64013671875,51.400657653808594,53.64013671875,51.400657653808594,53.64013671875,51.400657653808594,0.0,0.0,0.0,0.0,
hsa:09150_residual,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,0.0,0.0,0.0,0.0,
hsa:09160,89.54135131835938,89.54135131835938,89.54135131835938,89.54135131835938,0.0,0.0,85.01863098144531,85.01863098144531,85.01863098144531,85.01863098144531,0.0,0.0,45.961669921875,39.05696105957031,45.961669921875,39.05696105957031,45.961669921875,39.05696105957031,45.961669921875,39.05696105957031,0.0,0.0,0.0,0.0,
hsa:09160_residual,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,2.0461201667785645,2.0461201667785645,2.0461201667785645,2.0461201667785645,0.0,0.0,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,1.0799527168273926,0.9661674499511719,0.0,0.0,0.0,0.0,
