metric,test,val,train,
acc,0.95,0.9199999999999999,0.9513671715104379,
f1,0.949874686716792,0.9197994987468672,0.951358188427154,
loss,0.3839291036128998,0.4043108820915222,0.37497302889823914,
sens,0.9545454545454546,0.9242424242424243,0.9514115181188492,
spec,0.95,0.9199999999999999,0.9513671715104379,
mcc,0.9045340337332908,0.8442317648177381,0.9027786885400824,
ep,10
