,median,median_perc,mean,std,min,max,over_threshold,names
f5_rnd,0.0,0.0,0.016320010770634424,0.05018738190525104,0.0,0.60010743,False,ilmn_id
f7_rnd,0.0,0.0,0.009664749915125724,0.029521729725449725,0.0,0.28063604,False,ilmn_id
f6_rnd,0.0,0.0,0.015478900104255318,0.038408646981684454,0.0,0.26220137,False,ilmn_id
f2,0.02483262,21.07137386509573,0.07792911233075435,0.1113231662501881,0.0,0.6123573,False,ilmn_id
f3,0.026258508,22.281291269612595,0.07754409986555134,0.1086229560482834,0.0,0.61464363,False,ilmn_id
f8_rnd,0.0,0.0,0.005700576746740815,0.01760405457238124,0.0,0.20278034,False,ilmn_id
f4,0.0667589,56.647334865291675,0.10528602994964224,0.12620757395740972,0.0,0.58347017,False,ilmn_id
f1,0.0,0.0,0.023932107127272718,0.06592199470902645,0.0,0.5728877,False,ilmn_id
