metric,test,val,train,
acc,0.9565217391304348,0.9825581395348837,1.0,
f1,0.9565126050420167,0.982552831783601,1.0,
loss,0.4184262454509735,0.40019604563713074,0.38453418016433716,
sens,0.9569056127811646,0.9831460674157304,1.0,
spec,0.9565217391304348,0.9825581395348837,1.0,
mcc,0.913427271248925,0.9657040279831711,1.0,
ep,21
