Module,0.5_sum_abs,0.6_sum_abs,0.7_sum_abs,0.8_sum_abs,0.9_sum_abs,1_sum_abs,0.5_sum,0.6_sum,0.7_sum,0.8_sum,0.9_sum,1_sum,0.5_sum_female,0.5_sum_male,0.6_sum_female,0.6_sum_male,0.7_sum_female,0.7_sum_male,0.8_sum_female,0.8_sum_male,0.9_sum_female,0.9_sum_male,1_sum_female,1_sum_male,
hsa:00010,0.5340734124183655,0.5340734124183655,0.5340734124183655,0.5340734124183655,0.0,0.0,0.17316892743110657,0.17316892743110657,0.17316892743110657,0.17316892743110657,0.0,0.0,0.06420651078224182,0.10896239429712296,0.06420651078224182,0.10896239429712296,0.06420651078224182,0.10896239429712296,0.06420651078224182,0.10896239429712296,0.0,0.0,0.0,0.0,
hsa:00010_residual,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.0,0.0,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.0,0.0,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.0,0.0,0.0,0.0,
hsa:00020,0.2710162401199341,0.2710162401199341,0.2710162401199341,0.2710162401199341,0.0,0.0,0.013799697160720825,0.013799697160720825,0.013799697160720825,0.013799697160720825,0.0,0.0,-0.002376556396484375,0.0161762498319149,-0.002376556396484375,0.0161762498319149,-0.002376556396484375,0.0161762498319149,-0.002376556396484375,0.0161762498319149,0.0,0.0,0.0,0.0,
hsa:00020_residual,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.0,0.0,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.0,0.0,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.0,0.0,0.0,0.0,
hsa:00030,0.4024522006511688,0.4024522006511688,0.4024522006511688,0.4024522006511688,0.0,0.0,0.13515782356262207,0.13515782356262207,0.13515782356262207,0.13515782356262207,0.0,0.0,0.0424414798617363,0.09271634370088577,0.0424414798617363,0.09271634370088577,0.0424414798617363,0.09271634370088577,0.0424414798617363,0.09271634370088577,0.0,0.0,0.0,0.0,
hsa:00030_residual,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.0,0.0,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.0,0.0,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.0,0.0,0.0,0.0,
hsa:00040,0.41862210631370544,0.41862210631370544,0.41862210631370544,0.41862210631370544,0.0,0.0,0.043288156390190125,0.043288156390190125,0.043288156390190125,0.043288156390190125,0.0,0.0,0.0353451743721962,0.007942975498735905,0.0353451743721962,0.007942975498735905,0.0353451743721962,0.007942975498735905,0.0353451743721962,0.007942975498735905,0.0,0.0,0.0,0.0,
hsa:00040_residual,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.0,0.0,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.0,0.0,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.0,0.0,0.0,0.0,
hsa:00051,0.2494107186794281,0.2494107186794281,0.2494107186794281,0.2494107186794281,0.0,0.0,-0.07281342893838882,-0.07281342893838882,-0.07281342893838882,-0.07281342893838882,0.0,0.0,-0.021375374868512154,-0.05143804848194122,-0.021375374868512154,-0.05143804848194122,-0.021375374868512154,-0.05143804848194122,-0.021375374868512154,-0.05143804848194122,0.0,0.0,0.0,0.0,
hsa:00051_residual,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.014066537842154503,0.0,0.0,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.008316490799188614,0.0,0.0,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.00387419480830431,0.004442295990884304,0.0,0.0,0.0,0.0,
