metric,test,val,train,
acc,0.95,0.9444444444444444,0.965625,
f1,0.9499921862791061,0.9444089946144618,0.9656236571741084,
loss,0.4618958532810211,0.4704056978225708,0.4512144923210144,
sens,0.950281425891182,0.9455810147299509,0.9656977652758243,
spec,0.95,0.9444444444444444,0.965625,
mcc,0.9002813819046397,0.8900247334690085,0.9313227624332087,
ep,9
