Module,0.5_sum_abs,0.6_sum_abs,0.7_sum_abs,0.8_sum_abs,0.9_sum_abs,1_sum_abs,0.5_sum,0.6_sum,0.7_sum,0.8_sum,0.9_sum,1_sum,0.5_sum_ADRN,0.5_sum_MES,0.6_sum_ADRN,0.6_sum_MES,0.7_sum_ADRN,0.7_sum_MES,0.8_sum_ADRN,0.8_sum_MES,0.9_sum_ADRN,0.9_sum_MES,1_sum_ADRN,1_sum_MES,
hsa:05200,0.15839505195617676,0.15839505195617676,0.15839505195617676,0.15206977725028992,0.15101325511932373,0.0,-0.09816422313451767,-0.09816422313451767,-0.09816422313451767,-0.0954589992761612,-0.09651552140712738,0.0,-0.12796640396118164,0.02980218641459942,-0.12796640396118164,0.02980218641459942,-0.12796640396118164,0.02980218641459942,-0.1235097125172615,0.028050728142261505,-0.1235097125172615,0.02699420042335987,0.0,0.0,
hsa:05200_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05202,0.5790446400642395,0.5790446400642395,0.5790446400642395,0.5494705438613892,0.5446737408638,0.0,0.5279579162597656,0.5279579162597656,0.5279579162597656,0.5028969645500183,0.5076937675476074,0.0,0.43051132559776306,0.09744659811258316,0.43051132559776306,0.09744659811258316,0.43051132559776306,0.09744659811258316,0.41759824752807617,0.08529875427484512,0.41759824752807617,0.09009554237127304,0.0,0.0,
hsa:05202_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05206,0.050091832876205444,0.050091832876205444,0.050091832876205444,0.04679880291223526,0.0463801734149456,0.0,-0.016316406428813934,-0.016316406428813934,-0.016316406428813934,-0.01605992019176483,-0.01624920777976513,0.0,-0.021282922476530075,0.004966516047716141,-0.021282922476530075,0.004966516047716141,-0.021282922476530075,0.004966516047716141,-0.02042115479707718,0.004361236002296209,-0.02042115479707718,0.004171948879957199,0.0,0.0,
hsa:05206_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05205,0.16004353761672974,0.16004353761672974,0.16004353761672974,0.15000328421592712,0.14890706539154053,0.0,0.08456500619649887,0.08456500619649887,0.08456500619649887,0.0817561149597168,0.08267668634653091,0.0,0.10875768959522247,-0.024192675948143005,0.10875768959522247,-0.024192675948143005,0.10875768959522247,-0.024192675948143005,0.10481207072734833,-0.02305596135556698,0.10481207072734833,-0.02213539183139801,0.0,0.0,
hsa:05205_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05204,0.7289406061172485,0.7289406061172485,0.7289406061172485,0.6944005489349365,0.686799168586731,0.0,0.5174058675765991,0.5174058675765991,0.5174058675765991,0.5305968523025513,0.5381982326507568,0.0,0.4424116313457489,0.07499422132968903,0.4424116313457489,0.07499422132968903,0.4424116313457489,0.07499422132968903,0.4487718343734741,0.08182502537965775,0.4487718343734741,0.08942639082670212,0.0,0.0,
hsa:05204_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05207,0.07569511979818344,0.07569511979818344,0.07569511979818344,0.07256316393613815,0.07203817367553711,0.0,0.041354790329933167,0.041354790329933167,0.041354790329933167,0.040102507919073105,0.040572941303253174,0.0,0.052812494337558746,-0.011457709595561028,0.052812494337558746,-0.011457709595561028,0.052812494337558746,-0.011457709595561028,0.05070009455084801,-0.01059759221971035,0.05070009455084801,-0.010127159766852856,0.0,0.0,
hsa:05207_residual,0.007918687537312508,0.007918687537312508,0.007918687537312508,0.007518529426306486,0.007456434890627861,0.0,0.0064331404864788055,0.0064331404864788055,0.0064331404864788055,0.006381970830261707,0.006444064900279045,0.0,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005216066259890795,0.0012170750414952636,0.005277060437947512,0.0011049106251448393,0.005277060437947512,0.0011670049279928207,0.0,0.0,
hsa:05208,0.07034319639205933,0.07034319639205933,0.07034319639205933,0.0673225075006485,0.06683330982923508,0.0,-0.041301190853118896,-0.041301190853118896,-0.041301190853118896,-0.04013994336128235,-0.04060100018978119,0.0,-0.05324399471282959,0.011942805722355843,-0.05324399471282959,0.011942805722355843,-0.05324399471282959,0.011942805722355843,-0.05121675506234169,0.011076809838414192,-0.05121675506234169,0.010615753009915352,0.0,0.0,
