Module,0.5_sum_abs,0.6_sum_abs,0.7_sum_abs,0.8_sum_abs,0.9_sum_abs,1_sum_abs,0.5_sum,0.6_sum,0.7_sum,0.8_sum,0.9_sum,1_sum,0.5_sum_False_strg,0.5_sum_True_strg,0.6_sum_False_strg,0.6_sum_True_strg,0.7_sum_False_strg,0.7_sum_True_strg,0.8_sum_False_strg,0.8_sum_True_strg,0.9_sum_False_strg,0.9_sum_True_strg,1_sum_False_strg,1_sum_True_strg,
f1_residual,7.639734268188477,7.477604389190674,7.28194522857666,7.0146379470825195,6.666701316833496,0.0,2.1274075508117676,2.1486129760742188,2.1963882446289062,2.105048179626465,2.255492925643921,0.0,3.546013355255127,-1.418606162071228,3.4768428802490234,-1.3282296657562256,3.4070944786071777,-1.2107059955596924,3.2409331798553467,-1.1358850002288818,3.17318058013916,-0.9176877737045288,0.0,0.0,
f2,144.91880798339844,141.91586303710938,139.64364624023438,133.74600219726562,128.027099609375,0.0,86.46435546875,85.55667114257812,85.2745361328125,81.664794921875,82.7440414428711,0.0,96.48172760009766,-10.017372131347656,95.00343322753906,-9.446762084960938,93.72625732421875,-8.451723098754883,89.27357482910156,-7.608780860900879,87.78387451171875,-5.039833068847656,0.0,0.0,
f2_residual,7.639734268188477,7.477604389190674,7.28194522857666,7.0146379470825195,6.666701316833496,0.0,2.1274075508117676,2.1486129760742188,2.1963882446289062,2.105048179626465,2.255492925643921,0.0,3.546013355255127,-1.418606162071228,3.4768428802490234,-1.3282296657562256,3.4070944786071777,-1.2107059955596924,3.2409331798553467,-1.1358850002288818,3.17318058013916,-0.9176877737045288,0.0,0.0,
f3,64.9077377319336,64.3949966430664,63.81098556518555,62.48692321777344,59.66599655151367,0.0,27.934402465820312,27.87015151977539,27.875965118408203,28.3170166015625,27.77755355834961,0.0,26.061983108520508,1.87241792678833,25.996049880981445,1.8741004467010498,25.983070373535156,1.892890453338623,26.181568145751953,2.135448455810547,25.37133026123047,2.4062252044677734,0.0,0.0,
f3_residual,3.70164155960083,3.6258580684661865,3.5743401050567627,3.504317283630371,3.3332762718200684,0.0,2.720682382583618,2.758074998855591,2.7447168827056885,2.757835865020752,2.668370246887207,0.0,1.6373273134231567,1.0833549499511719,1.6375969648361206,1.1204782724380493,1.6261019706726074,1.1186151504516602,1.6419748067855835,1.115861415863037,1.5896140336990356,1.078756332397461,0.0,0.0,
f4,128.5495147705078,126.95843505859375,125.33663940429688,123.1998062133789,118.8619384765625,0.0,64.4936294555664,65.54029083251953,66.29286193847656,65.86578369140625,66.60265350341797,0.0,64.0413589477539,0.452271044254303,63.97270584106445,1.5675883293151855,63.808170318603516,2.484694242477417,62.816802978515625,3.0489845275878906,62.064762115478516,4.53788948059082,0.0,0.0,
f4_residual,3.70164155960083,3.6258580684661865,3.5743401050567627,3.504317283630371,3.3332762718200684,0.0,2.720682382583618,2.758074998855591,2.7447168827056885,2.757835865020752,2.668370246887207,0.0,1.6373273134231567,1.0833549499511719,1.6375969648361206,1.1204782724380493,1.6261019706726074,1.1186151504516602,1.6419748067855835,1.115861415863037,1.5896140336990356,1.078756332397461,0.0,0.0,
f5_rnd,56.51589584350586,55.32918930053711,54.68343734741211,52.64223098754883,50.351375579833984,0.0,-20.966405868530273,-20.330429077148438,-19.97479820251465,-19.003215789794922,-18.449050903320312,0.0,-5.3354973793029785,-15.630908966064453,-5.127553939819336,-15.202877044677734,-5.00502872467041,-14.969770431518555,-4.601406574249268,-14.401811599731445,-4.6043853759765625,-13.84466552734375,0.0,0.0,
f5_rnd_residual,7.639734268188477,7.477604389190674,7.28194522857666,7.0146379470825195,6.666701316833496,0.0,2.1274075508117676,2.1486129760742188,2.1963882446289062,2.105048179626465,2.255492925643921,0.0,3.546013355255127,-1.418606162071228,3.4768428802490234,-1.3282296657562256,3.4070944786071777,-1.2107059955596924,3.2409331798553467,-1.1358850002288818,3.17318058013916,-0.9176877737045288,0.0,0.0,
f6_rnd,43.08432388305664,42.61072540283203,42.14830017089844,41.15070343017578,39.71434783935547,0.0,5.243143558502197,5.158453941345215,5.3430070877075195,5.6255574226379395,5.87934684753418,0.0,13.162347793579102,-7.91920280456543,13.118026733398438,-7.959574222564697,13.11528205871582,-7.772274971008301,12.952754974365234,-7.327197074890137,12.691716194152832,-6.812369346618652,0.0,0.0,
f6_rnd_residual,3.70164155960083,3.6258580684661865,3.5743401050567627,3.504317283630371,3.3332762718200684,0.0,2.720682382583618,2.758074998855591,2.7447168827056885,2.757835865020752,2.668370246887207,0.0,1.6373273134231567,1.0833549499511719,1.6375969648361206,1.1204782724380493,1.6261019706726074,1.1186151504516602,1.6419748067855835,1.115861415863037,1.5896140336990356,1.078756332397461,0.0,0.0,
f7_rnd,30.780359268188477,30.16442108154297,29.217735290527344,28.724258422851562,27.014541625976562,0.0,-11.72409439086914,-11.956609725952148,-11.8916015625,-11.753484725952148,-11.218250274658203,0.0,-3.1977856159210205,-8.526309967041016,-3.340244770050049,-8.616364479064941,-3.290637731552124,-8.600964546203613,-3.395636558532715,-8.357848167419434,-3.452775716781616,-7.765474796295166,0.0,0.0,
f7_rnd_residual,3.666184663772583,3.5751090049743652,3.4699392318725586,3.396015167236328,3.2258050441741943,0.0,-0.8272899985313416,-0.8593013286590576,-0.8258939981460571,-0.8214116096496582,-0.7548266053199768,0.0,-0.39876890182495117,-0.4285210967063904,-0.4282018542289734,-0.43109941482543945,-0.42205867171287537,-0.40383535623550415,-0.4399915337562561,-0.3814201354980469,-0.44618844985961914,-0.30863818526268005,0.0,0.0,
f8_rnd,23.273265838623047,22.724491119384766,21.91646385192871,21.46349334716797,20.518247604370117,0.0,-9.449857711791992,-9.302690505981445,-8.674291610717773,-8.571317672729492,-7.933720111846924,0.0,-3.374310255050659,-6.075546741485596,-3.3910887241363525,-5.911602020263672,-3.4255919456481934,-5.24869966506958,-3.4897611141204834,-5.08155632019043,-3.513901472091675,-4.419818878173828,0.0,0.0,
