metric,test,val,train,
acc,0.9722222222222222,0.857843137254902,0.9793388429752066,
f1,0.9142857142857143,0.7948717948717949,0.931311941909528,
loss,0.3361899256706238,0.46236205101013184,0.33841830492019653,
sens,0.875,0.7616487455197133,0.8958333333333333,
spec,0.9722222222222222,0.857843137254902,0.9793388429752066,
mcc,0.8416254115301732,0.6119778033738925,0.8711791825130334,
ep,8
